loan_id,cust_id,loan_amount,loan_term,loan_type,overdue_days,issue_date,is_default
L000042,C000925,620000,24,经营贷,3,2023-01-25,0
L000043,C000054,2860000,24,装修贷,0,2023-01-26,0
L000044,C000730,4770000,36,经营贷,0,2023-01-27,0
L000045,C000528,220000,48,经营贷,0,2023-01-27,0
L000046,C000611,4590000,24,装修贷,0,2023-01-28,0
L000047,C000532,2120000,48,消费贷,0,2023-01-29,0
L000048,C000558,1260000,24,消费贷,60,2023-01-29,1
L000049,C000963,4130000,36,消费贷,0,2023-01-30,0
L000050,C000193,4990000,36,装修贷,0,2023-01-30,0
L000051,C000895,4250000,12,装修贷,60,2023-01-31,1
L000052,C000058,420000,36,经营贷,0,2023-02-01,0
L000053,C000437,980000,12,消费贷,10,2023-02-01,0
L000054,C000111,4490000,24,消费贷,0,2023-02-02,0
L000055,C000129,310000,48,消费贷,0,2023-02-02,0
L000056,C000849,1580000,36,消费贷,0,2023-02-03,0
L000057,C000706,1120000,36,经营贷,0,2023-02-04,0
L000058,C000925,4020000,36,装修贷,0,2023-02-04,0
L000059,C000852,2470000,24,装修贷,3,2023-02-05,0
L000060,C000326,1220000,12,经营贷,0,2023-02-05,0
L000061,C000008,2730000,24,消费贷,30,2023-02-06,1
L000062,C000029,2940000,48,消费贷,0,2023-02-07,0
L000063,C000112,3980000,24,消费贷,0,2023-02-07,0
L000064,C000947,4710000,48,经营贷,0,2023-02-08,0
L000065,C000673,4730000,36,装修贷,0,2023-02-08,0
L000066,C000131,2070000,48,消费贷,3,2023-02-09,0
L000067,C000188,1100000,48,消费贷,60,2023-02-10,1
L000068,C000675,4400000,12,消费贷,3,2023-02-10,0
L000069,C000709,2780000,48,消费贷,0,2023-02-11,0
L000070,C000475,4510000,48,消费贷,0,2023-02-12,0
L000071,C000364,560000,24,消费贷,0,2023-02-12,0
L000072,C000204,3750000,36,消费贷,10,2023-02-13,0
L000073,C000212,4030000,24,装修贷,0,2023-02-13,0
L000074,C000621,570000,24,经营贷,0,2023-02-14,0
L000075,C000276,4280000,36,消费贷,0,2023-02-15,0
L000076,C000073,4820000,36,消费贷,0,2023-02-15,0
L000077,C000679,2910000,48,消费贷,0,2023-02-16,0
L000078,C000772,1140000,48,消费贷,0,2023-02-16,0
L000079,C000243,3810000,12,消费贷,10,2023-02-17,0
L000080,C000787,3850000,24,经营贷,30,2023-02-18,1
L000081,C000102,3080000,36,经营贷,0,2023-02-18,0
L000082,C000987,3410000,48,经营贷,0,2023-02-19,0
L000083,C000685,4770000,36,消费贷,0,2023-02-19,0
L000084,C000171,1980000,48,装修贷,90,2023-02-20,1
L000085,C000653,4210000,12,消费贷,90,2023-02-21,1
L000086,C000909,3210000,12,消费贷,30,2023-02-21,1
L000087,C000188,1790000,36,经营贷,3,2023-02-22,0
L000088,C000441,3850000,12,经营贷,0,2023-02-22,0
L000089,C000086,2190000,36,装修贷,10,2023-02-23,0
L000090,C000476,2770000,48,经营贷,0,2023-02-24,0
L000091,C000052,4370000,24,装修贷,0,2023-02-24,0
L000092,C000111,160000,12,装修贷,3,2023-02-25,0
L000093,C000949,4920000,48,经营贷,0,2023-02-26,0
L000094,C000877,3790000,24,经营贷,0,2023-02-26,0
L000095,C000854,610000,24,经营贷,0,2023-02-27,0
L000096,C000043,540000,24,装修贷,0,2023-02-27,0
L000097,C000211,1680000,48,经营贷,30,2023-02-28,1
L000098,C000968,260000,48,消费贷,0,2023-03-01,0
L000099,C000200,3360000,36,经营贷,0,2023-03-01,0
L000100,C000810,4760000,24,消费贷,0,2023-03-02,0
L000101,C000858,650000,24,消费贷,0,2023-03-02,0
L000102,C000752,1000000,24,消费贷,0,2023-03-03,0
L000103,C000627,740000,36,经营贷,0,2023-03-04,0
L000104,C000026,1920000,24,装修贷,0,2023-03-04,0
L000105,C000919,1710000,48,消费贷,3,2023-03-05,0
L000106,C000299,2730000,24,消费贷,90,2023-03-05,1
L000107,C000077,3770000,12,消费贷,0,2023-03-06,0
L000108,C000924,1870000,48,经营贷,0,2023-03-07,0
L000109,C000137,230000,36,消费贷,0,2023-03-07,0
L000110,C000020,3910000,24,消费贷,30,2023-03-08,1
L000111,C000440,4280000,12,消费贷,0,2023-03-08,0
L000112,C000211,1810000,36,消费贷,10,2023-03-09,0
L000113,C000752,3270000,36,消费贷,10,2023-03-10,0
L000114,C000551,1080000,48,经营贷,30,2023-03-10,1
L000115,C000435,3350000,36,消费贷,60,2023-03-11,1
L000116,C000780,1620000,36,经营贷,0,2023-03-12,0
L000117,C000207,3020000,36,消费贷,0,2023-03-12,0
L000118,C000991,4930000,36,消费贷,60,2023-03-13,1
L000119,C000439,4520000,24,消费贷,0,2023-03-13,0
L000120,C000974,2060000,24,经营贷,0,2023-03-14,0
L000121,C000779,780000,24,装修贷,0,2023-03-15,0
L000122,C000666,160000,24,装修贷,0,2023-03-15,0
L000123,C000042,3270000,12,经营贷,30,2023-03-16,1
L000124,C000411,960000,24,消费贷,0,2023-03-16,0
L000125,C000523,1470000,36,装修贷,0,2023-03-17,0
L000126,C000806,20000,24,经营贷,60,2023-03-18,1
L000127,C000610,100000,24,消费贷,10,2023-03-18,0
L000128,C000427,4340000,48,装修贷,0,2023-03-19,0
L000129,C000275,1250000,36,消费贷,0,2023-03-19,0
L000130,C000448,810000,24,消费贷,0,2023-03-20,0
L000131,C000902,4850000,24,消费贷,0,2023-03-21,0
L000132,C000942,1400000,24,消费贷,0,2023-03-21,0
L000133,C000884,3260000,12,经营贷,0,2023-03-22,0
L000134,C000742,1500000,24,消费贷,3,2023-03-22,0
L000135,C000369,2880000,48,消费贷,0,2023-03-23,0
L000136,C000938,3610000,36,消费贷,0,2023-03-24,0
L000137,C000220,3400000,36,经营贷,0,2023-03-24,0
L000138,C000577,1290000,24,经营贷,0,2023-03-25,0
L000139,C000867,4380000,24,消费贷,3,2023-03-26,0
L000140,C000232,2390000,24,消费贷,0,2023-03-26,0
L000141,C000328,580000,36,消费贷,0,2023-03-27,0
L000142,C000443,1980000,36,装修贷,0,2023-03-27,0
L000143,C000052,2110000,12,消费贷,60,2023-03-28,1
L000144,C000886,4020000,48,消费贷,0,2023-03-29,0
L000145,C000943,3900000,12,消费贷,0,2023-03-29,0
L000146,C000376,450000,48,经营贷,0,2023-03-30,0
L000147,C000263,970000,12,经营贷,10,2023-03-30,0
L000148,C000267,2790000,36,消费贷,0,2023-03-31,0
L000149,C000359,230000,12,消费贷,0,2023-04-01,0
L000150,C000317,4100000,48,消费贷,0,2023-04-01,0
L000151,C000324,4610000,24,装修贷,0,2023-04-02,0
L000152,C000921,3910000,48,装修贷,10,2023-04-02,0
L000153,C000908,3350000,24,经营贷,3,2023-04-03,0
L000154,C000666,440000,36,经营贷,0,2023-04-04,0
L000155,C000870,270000,48,消费贷,0,2023-04-04,0
L000156,C000878,2820000,12,经营贷,0,2023-04-05,0
L000157,C000652,970000,48,经营贷,0,2023-04-05,0
L000158,C000939,4630000,24,消费贷,0,2023-04-06,0
L000159,C000563,360000,36,装修贷,0,2023-04-07,0
L000160,C000629,1090000,12,消费贷,0,2023-04-07,0
L000161,C000421,550000,48,消费贷,0,2023-04-08,0
L000162,C000046,1920000,24,经营贷,90,2023-04-09,1
L000163,C000821,2190000,12,经营贷,3,2023-04-09,0
L000164,C000600,1850000,36,经营贷,30,2023-04-10,1
L000165,C000720,690000,12,消费贷,0,2023-04-10,0
L000166,C000889,3170000,36,装修贷,60,2023-04-11,1
L000167,C000269,1300000,12,经营贷,0,2023-04-12,0
L000168,C000601,550000,48,消费贷,0,2023-04-12,0
L000169,C000381,3780000,24,装修贷,10,2023-04-13,0
L000170,C000118,970000,48,经营贷,0,2023-04-13,0
L000171,C000566,3360000,48,消费贷,0,2023-04-14,0
L000172,C000953,870000,36,经营贷,0,2023-04-15,0
L000173,C000116,2940000,36,消费贷,0,2023-04-15,0
L000174,C000630,1190000,36,消费贷,0,2023-04-16,0
L000175,C000260,2080000,48,消费贷,0,2023-04-16,0
L000176,C000075,3340000,12,装修贷,3,2023-04-17,0
L000177,C000480,4130000,12,消费贷,0,2023-04-18,0
L000178,C000305,1540000,48,经营贷,0,2023-04-18,0
L000179,C000007,350000,48,消费贷,0,2023-04-19,0
L000180,C000366,790000,24,经营贷,0,2023-04-19,0
L000181,C000634,670000,36,经营贷,90,2023-04-20,1
L000182,C000523,3430000,36,经营贷,0,2023-04-21,0
L000183,C000348,4130000,48,消费贷,0,2023-04-21,0
L000184,C000438,340000,48,经营贷,0,2023-04-22,0
L000185,C000215,970000,12,装修贷,3,2023-04-23,0
L000186,C000429,1690000,48,经营贷,3,2023-04-23,0
L000187,C000791,1690000,12,消费贷,0,2023-04-24,0
L000188,C000498,1510000,48,装修贷,0,2023-04-24,0
L000189,C000540,710000,24,消费贷,0,2023-04-25,0
L000190,C000747,30000,24,经营贷,0,2023-04-26,0
L000191,C000367,3140000,12,装修贷,0,2023-04-26,0
L000192,C000313,320000,36,消费贷,3,2023-04-27,0
L000193,C000538,2870000,24,消费贷,0,2023-04-27,0
L000194,C000921,820000,12,消费贷,10,2023-04-28,0
L000195,C000054,430000,48,经营贷,0,2023-04-29,0
L000196,C000541,3910000,48,经营贷,0,2023-04-29,0
L000197,C000467,1050000,12,消费贷,0,2023-04-30,0
L000198,C000865,10000,36,消费贷,0,2023-04-30,0
L000199,C000164,610000,12,消费贷,0,2023-05-01,0
L000200,C000782,2700000,12,消费贷,0,2023-05-02,0
L000201,C000334,1800000,24,消费贷,0,2023-05-02,0
L000202,C000547,2240000,12,装修贷,0,2023-05-03,0
L000203,C000798,60000,12,消费贷,0,2023-05-03,0
L000204,C000348,1030000,48,装修贷,0,2023-05-04,0
L000205,C000273,100000,24,经营贷,0,2023-05-05,0
L000206,C000963,710000,48,消费贷,0,2023-05-05,0
L000207,C000720,900000,48,经营贷,0,2023-05-06,0
L000208,C000750,2260000,36,经营贷,0,2023-05-07,0
L000209,C000414,1580000,36,消费贷,3,2023-05-07,0
L000210,C000500,2280000,24,消费贷,10,2023-05-08,0
L000211,C000093,4050000,24,消费贷,0,2023-05-08,0
L000212,C000685,1260000,36,消费贷,0,2023-05-09,0
L000213,C000079,4440000,36,消费贷,0,2023-05-10,0
L000214,C000622,2090000,36,消费贷,30,2023-05-10,1
L000215,C000217,970000,36,消费贷,0,2023-05-11,0
L000216,C000947,740000,36,消费贷,0,2023-05-11,0
L000217,C000358,1150000,48,消费贷,3,2023-05-12,0
L000218,C000618,1910000,24,消费贷,0,2023-05-13,0
L000219,C000507,4950000,48,消费贷,0,2023-05-13,0
L000220,C000559,1700000,48,装修贷,0,2023-05-14,0
L000221,C000181,3070000,12,消费贷,0,2023-05-14,0
L000222,C000576,4480000,48,经营贷,3,2023-05-15,0
L000223,C000246,2040000,36,消费贷,10,2023-05-16,0
L000224,C000244,560000,36,装修贷,0,2023-05-16,0
L000225,C000506,2080000,12,消费贷,0,2023-05-17,0
L000226,C000422,410000,12,装修贷,0,2023-05-17,0
L000227,C000320,320000,12,经营贷,0,2023-05-18,0
L000228,C000087,150000,12,消费贷,0,2023-05-19,0
L000229,C000217,620000,12,装修贷,0,2023-05-19,0
L000230,C000490,1550000,48,经营贷,0,2023-05-20,0
L000231,C000519,2840000,12,消费贷,0,2023-05-21,0
L000232,C000278,2090000,48,经营贷,0,2023-05-21,0
L000233,C000849,3200000,24,装修贷,0,2023-05-22,0
L000234,C000722,4940000,12,消费贷,0,2023-05-22,0
L000235,C000169,1870000,12,消费贷,0,2023-05-23,0
L000236,C000330,4980000,48,经营贷,0,2023-05-24,0
L000237,C000650,4420000,24,经营贷,0,2023-05-24,0
L000238,C000441,1300000,48,装修贷,0,2023-05-25,0
L000239,C000391,1270000,48,经营贷,0,2023-05-25,0
L000240,C000496,2920000,12,消费贷,0,2023-05-26,0
L000241,C000381,1140000,36,装修贷,0,2023-05-27,0
L000242,C000306,1990000,36,消费贷,0,2023-05-27,0
L000243,C000742,130000,48,消费贷,10,2023-05-28,0
L000244,C000987,2710000,12,经营贷,0,2023-05-28,0
L000245,C000820,890000,24,经营贷,0,2023-05-29,0
L000246,C000673,2150000,36,消费贷,0,2023-05-30,0
L000247,C000513,4440000,24,经营贷,0,2023-05-30,0
L000248,C000748,2780000,36,消费贷,0,2023-05-31,0
L000249,C000949,4470000,12,消费贷,0,2023-05-31,0
L000250,C000188,4740000,48,装修贷,0,2023-06-01,0
L000251,C000930,4810000,24,消费贷,0,2023-06-02,0
L000252,C000516,2030000,24,消费贷,0,2023-06-02,0
L000253,C000913,740000,48,消费贷,0,2023-06-03,0
L000254,C000644,250000,24,装修贷,3,2023-06-04,0
L000255,C000427,1010000,36,消费贷,0,2023-06-04,0
L000256,C000502,1760000,48,消费贷,30,2023-06-05,1
L000257,C000730,4270000,36,经营贷,3,2023-06-05,0
L000258,C000260,1170000,36,消费贷,0,2023-06-06,0
L000259,C000513,1660000,12,消费贷,0,2023-06-07,0
L000260,C000071,410000,36,经营贷,0,2023-06-07,0
L000261,C000478,4290000,12,消费贷,10,2023-06-08,0
L000262,C000178,3440000,24,装修贷,10,2023-06-08,0
L000263,C000457,4240000,24,消费贷,0,2023-06-09,0
L000264,C000189,3660000,12,消费贷,10,2023-06-10,0
L000265,C000291,1200000,36,消费贷,0,2023-06-10,0
L000266,C000520,970000,48,消费贷,0,2023-06-11,0
L000267,C000765,1450000,48,经营贷,30,2023-06-11,1
L000268,C000920,2160000,12,消费贷,3,2023-06-12,0
L000269,C000979,2290000,24,消费贷,0,2023-06-13,0
L000270,C000292,3130000,24,经营贷,3,2023-06-13,0
L000271,C000946,1300000,48,经营贷,60,2023-06-14,1
L000272,C000756,3520000,12,消费贷,3,2023-06-14,0
L000273,C000635,3770000,48,消费贷,10,2023-06-15,0
L000274,C000811,3180000,36,消费贷,3,2023-06-16,0
L000275,C000283,4720000,36,消费贷,0,2023-06-16,0
L000276,C000544,1370000,12,消费贷,10,2023-06-17,0
L000277,C000846,3240000,12,经营贷,0,2023-06-18,0
L000278,C000377,3370000,36,装修贷,30,2023-06-18,1
L000279,C000658,2730000,24,消费贷,0,2023-06-19,0
L000280,C000156,1170000,12,消费贷,0,2023-06-19,0
L000281,C000508,3060000,36,消费贷,0,2023-06-20,0
L000282,C000413,3680000,36,消费贷,0,2023-06-21,0
L000283,C000528,940000,24,消费贷,0,2023-06-21,0
L000284,C000355,1680000,24,装修贷,90,2023-06-22,1
L000285,C000559,4420000,24,经营贷,60,2023-06-22,1
L000286,C000763,2030000,24,装修贷,0,2023-06-23,0
L000287,C000187,3410000,48,装修贷,90,2023-06-24,1
L000288,C000031,1490000,24,消费贷,10,2023-06-24,0
L000289,C000260,4020000,48,经营贷,0,2023-06-25,0
L000290,C000421,1830000,12,消费贷,0,2023-06-25,0
L000291,C000529,4130000,36,消费贷,30,2023-06-26,1
L000292,C000551,1520000,48,装修贷,0,2023-06-27,0
L000293,C000304,740000,12,消费贷,10,2023-06-27,0
L000294,C000942,3650000,12,装修贷,10,2023-06-28,0
L000295,C000986,4010000,48,消费贷,10,2023-06-28,0
L000296,C000944,2740000,12,装修贷,0,2023-06-29,0
L000297,C000039,420000,12,装修贷,0,2023-06-30,0
L000298,C000489,4960000,48,经营贷,0,2023-06-30,0
L000299,C000644,2120000,12,经营贷,0,2023-07-01,0
L000300,C000542,1010000,24,消费贷,0,2023-07-02,0
L000301,C000670,450000,24,装修贷,0,2023-07-02,0
L000302,C000278,820000,36,装修贷,0,2023-07-03,0
L000303,C000203,170000,12,经营贷,10,2023-07-03,0
L000304,C000066,730000,36,经营贷,0,2023-07-04,0
L000305,C000108,140000,24,经营贷,0,2023-07-05,0
L000306,C000268,4330000,24,装修贷,0,2023-07-05,0
L000307,C000222,1570000,24,经营贷,0,2023-07-06,0
L000308,C000804,2230000,12,装修贷,0,2023-07-06,0
L000309,C000530,1320000,12,经营贷,3,2023-07-07,0
L000310,C000090,3380000,24,消费贷,0,2023-07-08,0
L000311,C000693,4040000,36,消费贷,3,2023-07-08,0
L000312,C000255,3760000,36,消费贷,0,2023-07-09,0
L000313,C000455,3760000,48,消费贷,10,2023-07-09,0
L000314,C000253,470000,24,消费贷,10,2023-07-10,0
L000315,C000257,1070000,36,经营贷,60,2023-07-11,1
L000316,C000383,1080000,24,消费贷,30,2023-07-11,1
L000317,C000442,2650000,36,消费贷,30,2023-07-12,1
L000318,C000858,2050000,48,经营贷,10,2023-07-13,0
L000319,C000599,790000,48,装修贷,0,2023-07-13,0
L000320,C000090,1550000,24,经营贷,0,2023-07-14,0
L000321,C000749,2710000,36,装修贷,0,2023-07-14,0
L000322,C000390,4760000,12,经营贷,0,2023-07-15,0
L000323,C000582,4850000,48,消费贷,0,2023-07-16,0
L000324,C000044,2470000,24,经营贷,0,2023-07-16,0
L000325,C000712,190000,24,经营贷,10,2023-07-17,0
L000326,C000664,3460000,36,消费贷,60,2023-07-17,1
L000327,C000598,4360000,24,消费贷,0,2023-07-18,0
L000328,C000019,260000,48,经营贷,0,2023-07-19,0
L000329,C000101,2170000,24,消费贷,60,2023-07-19,1
L000330,C000914,1540000,24,经营贷,0,2023-07-20,0
L000331,C000607,1540000,12,消费贷,3,2023-07-20,0
L000332,C000766,1740000,12,经营贷,0,2023-07-21,0
L000333,C000357,920000,48,经营贷,0,2023-07-22,0
L000334,C000542,4330000,36,消费贷,0,2023-07-22,0
L000335,C000761,3380000,12,消费贷,30,2023-07-23,1
L000336,C000938,4800000,36,经营贷,0,2023-07-23,0
L000337,C000033,1810000,48,装修贷,0,2023-07-24,0
L000338,C000970,1310000,12,装修贷,0,2023-07-25,0
L000339,C000229,4500000,36,消费贷,0,2023-07-25,0
L000340,C000524,4810000,12,经营贷,60,2023-07-26,1
L000341,C000630,2980000,48,消费贷,3,2023-07-27,0
L000342,C000862,2750000,48,消费贷,0,2023-07-27,0
L000343,C000155,2730000,12,消费贷,0,2023-07-28,0
L000344,C000423,4920000,36,经营贷,0,2023-07-28,0
L000345,C000905,4170000,24,消费贷,3,2023-07-29,0
L000346,C000246,760000,24,消费贷,3,2023-07-30,0
L000347,C000405,1770000,12,经营贷,0,2023-07-30,0
L000348,C000844,1840000,36,经营贷,3,2023-07-31,0
L000349,C000759,3190000,24,消费贷,0,2023-07-31,0
L000350,C000541,1310000,48,消费贷,60,2023-08-01,1
L000351,C000161,3630000,36,消费贷,30,2023-08-02,1
L000352,C000747,490000,24,消费贷,3,2023-08-02,0
L000353,C000702,550000,36,经营贷,3,2023-08-03,0
L000354,C000117,1540000,12,消费贷,0,2023-08-03,0
L000355,C000271,3550000,36,经营贷,10,2023-08-04,0
L000356,C000770,2000000,24,装修贷,0,2023-08-05,0
L000357,C000692,3080000,12,消费贷,0,2023-08-05,0
L000358,C000487,3560000,36,装修贷,0,2023-08-06,0
L000359,C000885,3730000,48,消费贷,10,2023-08-06,0
L000360,C000172,1180000,24,消费贷,0,2023-08-07,0
L000361,C000950,2630000,12,消费贷,0,2023-08-08,0
L000362,C000274,460000,36,消费贷,0,2023-08-08,0
L000363,C000259,3020000,48,消费贷,0,2023-08-09,0
L000364,C000135,3560000,24,消费贷,0,2023-08-10,0
L000365,C000683,4000000,48,经营贷,10,2023-08-10,0
L000366,C000722,4080000,36,装修贷,10,2023-08-11,0
L000367,C000748,1890000,36,经营贷,0,2023-08-11,0
L000368,C000422,3100000,12,消费贷,10,2023-08-12,0
L000369,C000421,3180000,48,经营贷,3,2023-08-13,0
L000370,C000186,1290000,12,经营贷,0,2023-08-13,0
L000371,C000929,490000,24,装修贷,3,2023-08-14,0
L000372,C000364,250000,12,装修贷,60,2023-08-14,1
L000373,C000955,2660000,24,装修贷,0,2023-08-15,0
L000374,C000607,1180000,36,消费贷,0,2023-08-16,0
L000375,C000378,4640000,36,经营贷,60,2023-08-16,1
L000376,C000523,1440000,48,消费贷,0,2023-08-17,0
L000377,C000580,4420000,24,装修贷,0,2023-08-17,0
L000378,C000891,2000000,36,消费贷,0,2023-08-18,0
L000379,C000722,1570000,48,消费贷,0,2023-08-19,0
L000380,C000196,4870000,48,消费贷,10,2023-08-19,0
L000381,C000881,3480000,12,经营贷,0,2023-08-20,0
L000382,C000098,1340000,48,消费贷,0,2023-08-20,0
L000383,C000605,4000000,36,消费贷,0,2023-08-21,0
L000384,C000984,1480000,12,装修贷,0,2023-08-22,0
L000385,C000022,3360000,24,装修贷,0,2023-08-22,0
L000386,C000450,710000,24,消费贷,0,2023-08-23,0
L000387,C000172,2330000,36,消费贷,10,2023-08-24,0
L000388,C000383,3340000,36,装修贷,0,2023-08-24,0
L000389,C000134,2990000,12,装修贷,0,2023-08-25,0
L000390,C000426,1540000,12,经营贷,0,2023-08-25,0
L000391,C000025,900000,36,经营贷,0,2023-08-26,0
L000392,C000503,3340000,36,消费贷,0,2023-08-27,0
L000393,C000185,1990000,24,装修贷,0,2023-08-27,0
L000394,C000085,1610000,24,经营贷,10,2023-08-28,0
L000395,C000567,260000,24,经营贷,0,2023-08-28,0
L000396,C000763,1210000,36,消费贷,3,2023-08-29,0
L000397,C000144,3010000,48,装修贷,0,2023-08-30,0
L000398,C000863,2120000,36,经营贷,60,2023-08-30,1
L000399,C000910,630000,36,消费贷,0,2023-08-31,0
L000400,C000679,4510000,24,经营贷,3,2023-08-31,0
L000401,C000412,4360000,36,经营贷,0,2023-09-01,0
L000402,C000224,680000,12,经营贷,0,2023-09-02,0
L000403,C000220,2530000,36,经营贷,0,2023-09-02,0
L000404,C000179,4100000,36,经营贷,30,2023-09-03,1
L000405,C000631,4590000,36,装修贷,0,2023-09-03,0
L000406,C000433,20000,36,消费贷,0,2023-09-04,0
L000407,C000265,3980000,48,消费贷,3,2023-09-05,0
L000408,C000954,1080000,36,消费贷,0,2023-09-05,0
L000409,C000429,2860000,12,经营贷,3,2023-09-06,0
L000410,C000662,490000,12,经营贷,0,2023-09-07,0
L000411,C000416,1400000,36,装修贷,3,2023-09-07,0
L000412,C000453,2180000,24,经营贷,0,2023-09-08,0
L000413,C000727,440000,48,经营贷,0,2023-09-08,0
L000414,C000197,4170000,36,装修贷,0,2023-09-09,0
L000415,C000554,2690000,36,消费贷,10,2023-09-10,0
L000416,C000053,780000,36,装修贷,0,2023-09-10,0
L000417,C000480,2160000,24,消费贷,0,2023-09-11,0
L000418,C000443,3820000,24,经营贷,60,2023-09-11,1
L000419,C000330,980000,24,经营贷,0,2023-09-12,0
L000420,C000251,2360000,48,经营贷,10,2023-09-13,0
L000421,C000807,2820000,12,消费贷,90,2023-09-13,1
L000422,C000890,1490000,48,消费贷,30,2023-09-14,1
L000423,C000783,4120000,24,经营贷,10,2023-09-14,0
L000424,C000967,3040000,12,装修贷,0,2023-09-15,0
L000425,C000925,4840000,12,消费贷,0,2023-09-16,0
L000426,C000123,4240000,24,装修贷,3,2023-09-16,0
L000427,C000879,660000,24,消费贷,0,2023-09-17,0
L000428,C000387,2340000,48,经营贷,0,2023-09-17,0
L000429,C000339,4570000,24,经营贷,3,2023-09-18,0
L000430,C000778,870000,12,经营贷,0,2023-09-19,0
L000431,C000348,790000,36,装修贷,30,2023-09-19,1
L000432,C000029,2050000,24,经营贷,10,2023-09-20,0
L000433,C000975,2790000,24,经营贷,10,2023-09-21,0
L000434,C000035,3370000,48,消费贷,3,2023-09-21,0
L000435,C000518,2540000,48,消费贷,30,2023-09-22,1
L000436,C000396,3040000,24,消费贷,10,2023-09-22,0
L000437,C000623,3800000,12,经营贷,0,2023-09-23,0
L000438,C000294,1300000,12,消费贷,0,2023-09-24,0
L000439,C000589,840000,36,消费贷,30,2023-09-24,1
L000440,C000349,2760000,24,消费贷,10,2023-09-25,0
L000441,C000147,1870000,48,消费贷,0,2023-09-25,0
L000442,C000067,460000,12,消费贷,0,2023-09-26,0
L000443,C000904,3870000,36,装修贷,0,2023-09-27,0
L000444,C000520,1830000,24,经营贷,0,2023-09-27,0
L000445,C000122,2680000,12,经营贷,30,2023-09-28,1
L000446,C000340,2960000,24,经营贷,60,2023-09-28,1
L000447,C000175,3220000,24,消费贷,0,2023-09-29,0
L000448,C000900,1000000,12,装修贷,0,2023-09-30,0
L000449,C000691,780000,12,消费贷,0,2023-09-30,0
L000450,C000597,2720000,12,消费贷,3,2023-10-01,0
L000451,C000451,3390000,24,经营贷,0,2023-10-01,0
L000452,C000557,1620000,24,消费贷,0,2023-10-02,0
L000453,C000136,440000,36,经营贷,0,2023-10-03,0
L000454,C000855,2380000,48,消费贷,0,2023-10-03,0
L000455,C000016,1340000,24,经营贷,0,2023-10-04,0
L000456,C000333,4610000,48,消费贷,0,2023-10-05,0
L000457,C000195,1920000,12,消费贷,0,2023-10-05,0
L000458,C000496,3560000,24,经营贷,0,2023-10-06,0
L000459,C000009,2780000,36,消费贷,0,2023-10-06,0
L000460,C000828,180000,36,消费贷,30,2023-10-07,1
L000461,C000334,120000,48,消费贷,10,2023-10-08,0
L000462,C000333,1800000,12,经营贷,30,2023-10-08,1
L000463,C000327,1230000,48,经营贷,30,2023-10-09,1
L000464,C000015,2460000,12,消费贷,0,2023-10-09,0
L000465,C000839,2220000,36,装修贷,0,2023-10-10,0
L000466,C000614,3730000,48,装修贷,0,2023-10-11,0
L000467,C000226,510000,36,经营贷,30,2023-10-11,1
